SymbolName;Type;Direction;ComponentName;Function;DriveType;VarName;VarPath
Kolben_Ausschub_LBK;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Ausschub_LBK;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Ausschub_LBK"
Kolben_Ausschub_LFR;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Ausschub_LFR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Ausschub_LFR"
Kolben_Hochfahren_LBK;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Hochfahren_LBK;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Hochfahren_LBK"
Kolben_Hochfahren_LFR;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Hochfahren_LFR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Hochfahren_LFR"
Kolben_Magazin_LBK;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Magazin_LBK;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Magazin_LBK"
Kolben_Magazin_LFR;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Magazin_LFR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Magazin_LFR"
Kolben_Presse_LBK;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Presse_LBK;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Presse_LBK"
Kolben_Presse_LFR;BOOL;READ;Kolben_Magazin;ControlTag;;Kolben_Presse_LFR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Presse_LFR"
Neue_Komponente2_IR;BOOL;READ;Kolben_Magazin;ControlTag;;Neue_Komponente2_IR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Neue_Komponente2_IR"
Neue_Komponente3_IR;BOOL;READ;Kolben_Magazin;ControlTag;;Neue_Komponente3_IR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Neue_Komponente3_IR"
Kolben_Ausschub_BWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Ausschub_BWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Ausschub_BWD"
Kolben_Ausschub_FWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Ausschub_FWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Ausschub_FWD"
Kolben_Hochfahren_BWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Hochfahren_BWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Hochfahren_BWD"
Kolben_Hochfahren_FWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Hochfahren_FWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Hochfahren_FWD"
Kolben_Magazin_BWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Magazin_BWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Magazin_BWD"
Kolben_Magazin_FWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Magazin_FWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Magazin_FWD"
Kolben_Presse_BWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Presse_BWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Presse_BWD"
Kolben_Presse_FWD;BOOL;WRITE;Kolben_Magazin;ControlTag;ValveX2Bistable;Kolben_Presse_FWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell/Hydraulikzylinder_Magazin/Kolben_Magazin?Kolben_Presse_FWD"
