SymbolName;Type;Direction;ComponentName;Function;DriveType;VarName;VarPath
Kolben_AXIS;FLOAT32;READ;Gesamtmodell;ControlTag;;Kolben_AXIS;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_AXIS"
Kolben_CurveLength;FLOAT32;READ;Gesamtmodell;ControlTag;;Kolben_CurveLength;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_CurveLength"
Kolben_Kolben_KinActual_Val;FLOAT32;READ;Gesamtmodell;ControlTag;;Kolben_Kolben_KinActual_Val;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_Kolben_KinActual_Val"
Kolben_LBK;BOOL;READ;Gesamtmodell;ControlTag;;Kolben_LBK;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_LBK"
Kolben_LFR;BOOL;READ;Gesamtmodell;ControlTag;;Kolben_LFR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_LFR"
Kolben_MasterPos;FLOAT32;WRITE;Gesamtmodell;ControlTag;;Kolben_MasterPos;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MasterPos"
Kolben_Override;FLOAT32;WRITE;Gesamtmodell;ControlTag;;Kolben_Override;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_Override"
Lichttsaster_IR;BOOL;READ;Gesamtmodell;ControlTag;;Lichttsaster_IR;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Lichttsaster_IR"
Kolben_MasterBack;BOOL;WRITE;Gesamtmodell;ControlTag;BitMotor;Kolben_MasterBack;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MasterBack"
Kolben_MasterForward;BOOL;WRITE;Gesamtmodell;ControlTag;BitMotor;Kolben_MasterForward;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MasterForward"
Kolben_MasterInhibit;BOOL;WRITE;Gesamtmodell;ControlTag;BitMotor;Kolben_MasterInhibit;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MasterInhibit"
Kolben_MasterMaxSpeed;FLOAT32;WRITE;Gesamtmodell;ControlTag;BitMotor;Kolben_MasterMaxSpeed;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MasterMaxSpeed"
Kolben_BWD;BOOL;WRITE;Gesamtmodell;ControlTag;ValveX2Bistable;Kolben_BWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_BWD"
Kolben_FWD;BOOL;WRITE;Gesamtmodell;ControlTag;ValveX2Bistable;Kolben_FWD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_FWD"
Kolben_KinInhibit;BOOL;WRITE;Gesamtmodell;ControlTag;ValveX2Bistable;Kolben_KinInhibit;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_KinInhibit"
Kolben_MAX_SPD;FLOAT32;WRITE;Gesamtmodell;ControlTag;ValveX2Bistable;Kolben_MAX_SPD;"Physics://physics/Gesamtmodell_Hydraulik_Presse/Gesamtmodell?Kolben_MAX_SPD"
